metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029
average waiting time,23.20279312133789,31.984149932861328,65.41363525390625,39.239925384521484,40.174800872802734,63.120948791503906,66.87168884277344,35.36275100708008,46.5413703918457,41.42332077026367,58.31953048706055,25.291296005249023,56.91592788696289,42.53645706176758,30.956077575683594,36.979400634765625,47.902164459228516,43.13236999511719,59.34653854370117,61.00117492675781,51.10365676879883,42.66483688354492,54.67060852050781,36.0426025390625,35.35422897338867,65.29483795166016,58.10762023925781,75.6429672241211,41.55678939819336,43.62367248535156
p95 waiting time,103.51246643066406,99.19999694824219,150.9976043701172,98.12191772460938,88.53923797607422,129.9250030517578,144.7888641357422,108.26873779296875,118.35688018798828,100.08538818359375,137.1421356201172,87.4000015258789,136.87640380859375,124.30062103271484,90.41718292236328,88.1316146850586,127.467041015625,103.43956756591797,141.10000610351562,173.16366577148438,116.62956237792969,94.8499984741211,109.58428192138672,110.06839752197266,84.08824920654297,168.2452392578125,153.39698791503906,186.55438232421875,110.77640533447266,111.74225616455078
load imbalance,0.2946425065701146,0.3600940125517158,0.34569135054574207,0.2871376465380132,0.3358688812788665,0.33411355894320893,0.309165063418024,0.28397453686812224,0.27963209009770995,0.2954794103846299,0.357745805425344,0.2564266867478624,0.36694152786265094,0.3560126042857657,0.2757394577218093,0.3115603660284235,0.3061860951402707,0.32734879627893115,0.3302497854748925,0.35101994580501744,0.36596141018670136,0.337793469115703,0.31180088216935736,0.33537964274417553,0.3276344910696005,0.36542936401091847,0.32342095105919555,0.3374007508612883,0.2920593246166349,0.33244706668005125
