metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049
average waiting time,47.602806091308594,33.53834915161133,33.00343704223633,0.5170981287956238,8.417759895324707,11.280855178833008,0.125,19.078384399414062,10.36939811706543,4.329690933227539,0.39338287711143494,7.406277656555176,0.31418687105178833,5.338276386260986,8.057767868041992,2.784496784210205,2.1898999214172363,0.068746417760849,30.12982940673828,10.676210403442383,10.542601585388184,22.499698638916016,26.777379989624023,55.60724639892578,0.004871794953942299,0.21589452028274536,32.98090362548828,14.66104507446289,36.37717056274414,31.088674545288086,7.5037665367126465,1.386472463607788,12.788324356079102,23.517423629760742,0.5960913896560669,1.7863914966583252,0.2357177436351776,0.1409110575914383,25.654279708862305,10.984063148498535,6.460951328277588,1.9101759195327759,0.7203702926635742,0.8659257888793945,13.223823547363281,16.392915725708008,1.614184021949768,0.2720588147640228,0.24137930572032928,4.899057865142822
p95 waiting time,109.71200561523438,111.5,148.01341247558594,4.651167869567871,30.977706909179688,62.89500045776367,0.0,59.63999938964844,32.92074203491211,24.130001068115234,3.0,35.79999923706055,2.625,25.809999465942383,34.84000015258789,12.225000381469727,11.857500076293945,0.0,123.23500061035156,59.78499984741211,44.0,96.40999603271484,78.30000305175781,208.16749572753906,0.0,0.2579165995121002,137.11424255371094,73.4800033569336,95.10269165039062,98.51718139648438,23.955692291259766,11.300000190734863,38.92841720581055,89.71800994873047,4.5,9.574999809265137,2.0481314659118652,1.160827398300171,79.76803588867188,45.029998779296875,26.504310607910156,9.168286323547363,7.639999866485596,5.914999961853027,33.0,74.5999984741211,8.17357349395752,1.4500000476837158,2.0,16.138465881347656
load imbalance,0.32931115232226743,0.5433432516234776,0.5546510039489723,0.2962680393863891,0.3036894218354641,0.5929416597413273,0.4172078673121232,0.3271382056675198,0.23467713064874374,0.38023300817281275,0.6533779354070248,0.35934788827782965,0.3979713709361056,0.5755758365716402,0.3160922076393394,0.32208567608035454,0.5363509445476987,0.3406809191436969,0.5635443008589588,0.4378185552127117,0.6102530766856742,0.4870602079585271,0.27404996519797953,0.4903042029310693,0.2719093930942652,0.3242964255262204,0.5538488228683512,0.6461780555190759,0.3328917707934588,0.3754678248315508,0.3460393913607956,0.56183032347749,0.3350286475939587,0.527180283544202,0.35456571969657735,0.23801740834990967,0.46370175321291124,0.41218293141755924,0.3148083073124905,0.24216041705572786,0.344014525648098,0.34548562269820393,0.32813206229764635,0.38318811536011343,0.30745462732366813,0.46709687934828836,0.42316313278464174,0.372003562382206,0.4713031807558927,0.28787835610945167
