metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019
average waiting time,8.603872299194336,4.269625186920166,0.3478260934352875,3.2318458557128906,4.892110347747803,13.151106834411621,2.0480077266693115,6.25114631652832,2.180964469909668,9.651017189025879,8.029407501220703,0.0,0.0008228460210375488,8.607769012451172,0.1679999977350235,0.05005749315023422,9.977487564086914,0.0,6.265843868255615,0.0
p95 waiting time,55.47500228881836,23.799999237060547,0.6000000238418579,17.25,23.969999313354492,40.368953704833984,18.19499969482422,36.0,19.200000762939453,49.3650016784668,47.477500915527344,0.0,0.0,40.779998779296875,1.4895190000534058,0.0,41.3126220703125,0.0,45.522499084472656,0.0
load imbalance,0.5290863179530153,0.3503908840384931,0.38567982928829053,0.34201071108165493,0.28663143521607054,0.2827100400741781,0.3748079885767524,0.6612755120153847,0.36904278890516945,0.532182129604197,0.5603035253687754,0.24456841188288803,0.32145407743573945,0.2931952319336832,0.2814418523687983,0.2886330785916874,0.3424268399813846,0.3685340150631556,0.4396309040628013,0.3924620775711434
