metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019
average waiting time,8.315247535705566,5.261023044586182,1.040217399597168,3.947061538696289,5.899440765380859,19.03740692138672,5.854884147644043,11.055656433105469,3.9281728267669678,11.945812225341797,7.123800754547119,0.5764706134796143,0.0401606410741806,13.022037506103516,0.25475284457206726,0.5018264651298523,11.532218933105469,0.16049382090568542,12.713970184326172,0.0
p95 waiting time,44.639984130859375,21.5,12.29998779296875,20.0,27.732877731323242,63.74250030517578,31.51000213623047,75.75,29.839998245239258,80.55995178222656,48.962486267089844,4.0,0.0,50.7999267578125,2.899993896484375,5.0,61.90422058105469,0.0,77.53248596191406,0.0
load imbalance,0.504803992675703,0.1556698264928324,0.3393791850942473,0.30610155782791015,0.19301454239677873,0.34062205066419665,0.20746303145477943,0.729815885939583,0.40827834769011084,0.5198731606317627,0.5315313402270342,0.19030352454994354,0.2920595980210905,0.25974236408901286,0.2302685435105432,0.1970271484370487,0.3719581420043463,0.35714295817116803,0.6190033541743827,0.3990624598669569
