metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029
average waiting time,33.18010330200195,36.97621154785156,61.658294677734375,38.6273193359375,47.58806228637695,64.2330551147461,66.12802124023438,34.37879180908203,44.88787078857422,44.96640396118164,55.390296936035156,33.86863708496094,54.7863883972168,40.11722946166992,44.18982696533203,43.41627883911133,47.007286071777344,47.35649490356445,59.66410446166992,60.690467834472656,51.055702209472656,42.11148452758789,55.497920989990234,36.290016174316406,35.492027282714844,60.14214324951172,51.29452896118164,65.86824798583984,39.39820861816406,50.64900588989258
p95 waiting time,181.54080200195312,187.0,242.44998168945312,162.17005920410156,202.17050170898438,265.0,267.7999267578125,159.69998168945312,163.4000244140625,175.25,239.85000610351562,157.39407348632812,226.69998168945312,190.0,205.0,195.80303955078125,191.30001831054688,209.0010528564453,223.0,235.41429138183594,225.31178283691406,182.93260192871094,224.76719665527344,173.0,175.49993896484375,212.69998168945312,213.68006896972656,245.0,154.79998779296875,225.1599884033203
load imbalance,0.4175156004611029,0.46336238878246877,0.3198908805425375,0.41699995046826865,0.49883176033881454,0.33848367946700636,0.2880671000697358,0.34326180583841037,0.35246144247728206,0.3506991042117175,0.3050354222245562,0.4762196362875322,0.3760299505063907,0.36167055110754404,0.5444894592335514,0.42301554878097475,0.35072191363338956,0.36903788296274126,0.29428664940045474,0.2974045472335103,0.4175684965158256,0.3603702453724416,0.3350431965228018,0.38309625146785176,0.43854866581628593,0.2983078064696894,0.35112180057998704,0.30608008665580216,0.32804087636988477,0.41372698322957
