metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049
average waiting time,54.47057342529297,39.43306350708008,46.00570297241211,0.9600446820259094,13.373078346252441,30.23578453063965,0.38793104887008667,21.935441970825195,14.566594123840332,9.23893928527832,1.880821943283081,12.503765106201172,1.5257936716079712,13.25,11.82826042175293,7.379753589630127,5.514999866485596,1.5748690366744995,43.346397399902344,21.393264770507812,31.45083999633789,52.087039947509766,36.33583068847656,69.2443618774414,0.4205128252506256,1.2091145515441895,36.36305236816406,34.098148345947266,40.30916976928711,40.63897705078125,13.753158569335938,5.091111183166504,17.22335433959961,28.248849868774414,2.094158172607422,2.94093918800354,0.848557710647583,0.4533333480358124,26.999113082885742,13.23709774017334,7.983689785003662,4.419219970703125,2.4347825050354004,3.626605749130249,16.041391372680664,39.271934509277344,3.6797664165496826,0.19632352888584137,1.54758620262146,9.655779838562012
p95 waiting time,153.5,189.0,249.55001831054688,7.1699981689453125,52.909584045410156,161.0,0.0,111.16002655029297,50.0,63.54499053955078,13.0,57.0,15.125,87.05000305175781,74.15998840332031,29.449981689453125,39.0,10.0,203.0,116.84994506835938,153.5500030517578,241.0,129.60000610351562,341.6499938964844,3.3000030517578125,9.449996948242188,192.89996337890625,189.1299591064453,141.81649780273438,189.52500915527344,75.00000762939453,33.0,63.70001220703125,158.39990234375,13.0,19.1344051361084,9.0,2.8000030517578125,94.5,63.40045928955078,45.04901123046875,30.199951171875,20.699996948242188,25.0,56.850006103515625,200.8000030517578,26.0,2.0,13.88000202178955,42.0
load imbalance,0.43294049215978786,0.6672723796507004,0.7564418528659845,0.2806400088832231,0.33873776829481367,0.9904307375823848,0.4092381574667908,0.40689153844141157,0.2597387031545723,0.45732808321546875,0.7474573458703783,0.4171333166260128,0.4921350359679551,0.7232130300471507,0.43780444447467104,0.3362549445455771,0.5601442722032046,0.3398213543391996,0.7565856178968294,0.5905032640853669,0.9752881435811079,0.8808050266947987,0.3792500695793044,0.6866227661316849,0.2690116519512071,0.31531590611944477,0.6900719990660584,1.0177174574808012,0.4150021818401633,0.5553307037350924,0.4069316501492003,0.7113138586223948,0.3968980013340118,0.6231690813642932,0.33143534447262224,0.3570588219356953,0.4217723409165334,0.4316050152192047,0.3520174587619518,0.30630809406979825,0.41294267377567445,0.3838368796949949,0.3456910193966593,0.4236806812883315,0.33235907378416185,0.7879294489871964,0.3883945361507759,0.3893696787917847,0.46508113070625967,0.3230986542412605
