metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049
average waiting time,36.79920959472656,27.335424423217773,22.943206787109375,0.04168377444148064,4.256716251373291,3.1981754302978516,0.012500000186264515,16.93067169189453,11.209996223449707,6.9599103927612305,0.6915905475616455,8.346940994262695,0.0,4.380731105804443,2.63349986076355,2.3211588859558105,1.257101058959961,0.0691099464893341,36.67490005493164,9.012959480285645,2.568188190460205,12.556687355041504,20.769088745117188,50.10773849487305,0.002051281975582242,0.009114583022892475,28.496850967407227,3.9395060539245605,21.9605712890625,32.150760650634766,4.400838851928711,0.02222222276031971,9.59322452545166,17.220687866210938,1.2190948724746704,0.3678748905658722,0.12945319712162018,0.03498382866382599,21.284936904907227,10.769865036010742,3.1713507175445557,0.522783637046814,0.5193236470222473,0.22359977662563324,12.16272258758545,9.575976371765137,0.6021379232406616,0.004101322032511234,0.07724137604236603,3.7750961780548096
p95 waiting time,95.95486450195312,92.30000305175781,105.52999877929688,0.0,19.84607696533203,22.362499237060547,0.0,74.11000061035156,39.840736389160156,38.564998626708984,5.699999809265137,38.711490631103516,0.0,22.177499771118164,17.56999969482422,10.449999809265137,8.0,0.0,175.30499267578125,50.87000274658203,14.04677677154541,64.56999969482422,63.9001350402832,219.82395935058594,0.0,0.0,132.5800018310547,26.475000381469727,86.55859375,131.6374969482422,22.92085075378418,0.0,45.339656829833984,85.41999816894531,9.0,2.4700000286102295,0.8774999976158142,0.0,74.88690185546875,40.23317337036133,14.0,3.808051347732544,6.630000114440918,2.132499933242798,43.65500259399414,61.27191162109375,4.009997367858887,0.0,0.0,14.5
load imbalance,0.2618039356429598,0.5204210062585858,0.5206006744211524,0.19247874033678714,0.2811618665099818,0.3296115691365409,0.351185608683922,0.2919505848672553,0.21038548982792826,0.3781534273229059,0.6692763423364021,0.2995600643302411,0.3157450615323596,0.5805200787653759,0.19835325244152585,0.2524720138134548,0.47736259163728784,0.2915837786401268,0.684224370201665,0.3438171400577118,0.40180657218660654,0.4384171027210464,0.22590642174191164,0.5308066990080661,0.24334861325474588,0.24408964607517591,0.5706999816342797,0.4086581747401015,0.25017771288010004,0.4300277382793209,0.23314592243111024,0.2917250717952442,0.40279921755920395,0.4745525620995467,0.3055859940660666,0.21898619809493627,0.33698012685559914,0.3864496179617904,0.2981581619969633,0.25324792013634667,0.3277776515730905,0.19347991590134953,0.16708692826686097,0.20658033814732826,0.27117821091096195,0.4631080713168982,0.2008098152956821,0.3439603009197956,0.35169531638587953,0.19998394014051468
