metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019
average waiting time,3.924909830093384,2.697082757949829,0.22028987109661102,3.6432714462280273,3.3013856410980225,10.625351905822754,0.9976744055747986,0.6095022559165955,1.799492359161377,5.118767738342285,6.160800933837891,0.0,0.0,5.0324482917785645,0.01596958190202713,0.0,9.282098770141602,0.0,5.3164591789245605,0.0
p95 waiting time,31.497501373291016,15.0,0.45000001788139343,16.0,20.96000099182129,37.13249969482422,6.795000076293945,4.650000095367432,15.119999885559082,34.849998474121094,41.314998626708984,0.0,0.0,25.404048919677734,0.0,0.0,37.974998474121094,0.0,39.0930290222168,0.0
load imbalance,0.27073932966377995,0.22668977183095354,0.20023834669558915,0.28036195695005023,0.1903132048547377,0.2054837578138561,0.24110635231005947,0.2029025392825728,0.2866510424970646,0.40631883669842805,0.49432405787120964,0.1848408194922471,0.15563374519805462,0.17870416229352787,0.2052919982000707,0.22260279208271705,0.3095268738592639,0.21762810606751665,0.3033520126075493,0.3524161791070153
