metric,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029
average waiting time,17.160541534423828,16.039016723632812,38.31205368041992,19.628952026367188,19.930419921875,33.44459533691406,35.919471740722656,16.016357421875,24.814756393432617,24.184219360351562,35.384159088134766,13.820555686950684,35.52994918823242,21.187257766723633,17.09366798400879,20.778047561645508,26.796064376831055,21.207061767578125,33.897789001464844,40.861671447753906,25.376686096191406,19.327512741088867,33.42577362060547,22.93601417541504,17.37726593017578,45.843387603759766,31.705820083618164,45.006744384765625,19.030467987060547,25.53168487548828
p95 waiting time,50.482418060302734,54.23557662963867,89.72398376464844,56.009857177734375,51.19952392578125,92.86715698242188,84.5,42.572391510009766,64.58414459228516,64.55939483642578,81.13720703125,38.11723327636719,87.4961929321289,53.191802978515625,55.05388259887695,62.35759353637695,70.41218566894531,64.23750305175781,74.94999694824219,100.37096405029297,81.0309829711914,57.24149703979492,87.00387573242188,61.89556121826172,55.18349075317383,109.61388397216797,93.0874252319336,103.07413482666016,59.53349685668945,76.67970275878906
load imbalance,0.15587585591142977,0.14396577871123287,0.1730450807562066,0.16175203919711037,0.07933785718469137,0.15069501467625082,0.15028939615432557,0.12984124890575657,0.1661373047328786,0.18329608023648578,0.16496597076899733,0.13701947744409598,0.15665726120591997,0.16060876527172754,0.18398200886142754,0.14850231945717915,0.11823169166806864,0.1264975617566468,0.09214172735153715,0.12163648205360696,0.17981045139980473,0.17208542171477664,0.18127120173781028,0.05812850094332707,0.129470552784166,0.1908367036977808,0.1895614556540523,0.12033102685551987,0.18773197473281394,0.12265063899107166
