episode_name,o2o-iql_episode_reward_mean,o2o-iql_episode_reward_std,o2o-iql_episode_length_mean,o2o-iql_episode_length_std,o2o-iql_vehicle_count_mean,o2o-iql_vehicle_count_std,o2o-iql_total_waiting_time_mean,o2o-iql_total_waiting_time_std,o2o-iql_mean_waiting_time_mean,o2o-iql_mean_waiting_time_std,o2o-iql_p95_waiting_time_mean,o2o-iql_p95_waiting_time_std,o2o-iql_max_waiting_time_mean,o2o-iql_max_waiting_time_std,o2o-iql_cv_load_imbalance_mean,o2o-iql_cv_load_imbalance_std,ppo_episode_reward_mean,ppo_episode_reward_std,ppo_episode_length_mean,ppo_episode_length_std,ppo_vehicle_count_mean,ppo_vehicle_count_std,ppo_total_waiting_time_mean,ppo_total_waiting_time_std,ppo_mean_waiting_time_mean,ppo_mean_waiting_time_std,ppo_p95_waiting_time_mean,ppo_p95_waiting_time_std,ppo_max_waiting_time_mean,ppo_max_waiting_time_std,ppo_cv_load_imbalance_mean,ppo_cv_load_imbalance_std,eoi_episode_reward_mean,eoi_episode_reward_std,eoi_episode_length_mean,eoi_episode_length_std,eoi_vehicle_count_mean,eoi_vehicle_count_std,eoi_total_waiting_time_mean,eoi_total_waiting_time_std,eoi_mean_waiting_time_mean,eoi_mean_waiting_time_std,eoi_p95_waiting_time_mean,eoi_p95_waiting_time_std,eoi_max_waiting_time_mean,eoi_max_waiting_time_std,eoi_cv_load_imbalance_mean,eoi_cv_load_imbalance_std,all-no-split_episode_reward_mean,all-no-split_episode_reward_std,all-no-split_episode_length_mean,all-no-split_episode_length_std,all-no-split_vehicle_count_mean,all-no-split_vehicle_count_std,all-no-split_total_waiting_time_mean,all-no-split_total_waiting_time_std,all-no-split_mean_waiting_time_mean,all-no-split_mean_waiting_time_std,all-no-split_p95_waiting_time_mean,all-no-split_p95_waiting_time_std,all-no-split_max_waiting_time_mean,all-no-split_max_waiting_time_std,all-no-split_cv_load_imbalance_mean,all-no-split_cv_load_imbalance_std,greedy-split_episode_reward_mean,greedy-split_episode_reward_std,greedy-split_episode_length_mean,greedy-split_episode_length_std,greedy-split_vehicle_count_mean,greedy-split_vehicle_count_std,greedy-split_total_waiting_time_mean,greedy-split_total_waiting_time_std,greedy-split_mean_waiting_time_mean,greedy-split_mean_waiting_time_std,greedy-split_p95_waiting_time_mean,greedy-split_p95_waiting_time_std,greedy-split_max_waiting_time_mean,greedy-split_max_waiting_time_std,greedy-split_cv_load_imbalance_mean,greedy-split_cv_load_imbalance_std,station-assignment_episode_reward_mean,station-assignment_episode_reward_std,station-assignment_episode_length_mean,station-assignment_episode_length_std,station-assignment_vehicle_count_mean,station-assignment_vehicle_count_std,station-assignment_total_waiting_time_mean,station-assignment_total_waiting_time_std,station-assignment_mean_waiting_time_mean,station-assignment_mean_waiting_time_std,station-assignment_p95_waiting_time_mean,station-assignment_p95_waiting_time_std,station-assignment_max_waiting_time_mean,station-assignment_max_waiting_time_std,station-assignment_cv_load_imbalance_mean,station-assignment_cv_load_imbalance_std
episode_0000.csv,-1231.7818203404415,177.87848466267275,258.0,0.0,258.0,0.0,1231.7818282779306,177.87848752733,4.77434811592102,0.6894515835467535,37.05850067138672,5.0944926094663625,44.27000045776367,5.724822616028086,0.35155188838133306,0.06773926584536707,-3066.0404002428054,646.0580670966215,258.0,0.0,258.0,0.0,3066.04040806815,646.0580741516038,11.883878135681153,2.504101144315572,65.0365005493164,9.25651497585539,72.38000106811523,8.88924171809708,0.6302186393287603,0.05401433417968853,-2145.333893584789,0.0,258.0,0.0,258.0,0.0,2145.3338935847896,0.0,8.315247535705566,0.0,44.639984130859375,0.0,75.44999694824219,0.0,0.504803992675703,0.0,-6879.0,0.0,258.0,0.0,258.0,0.0,6879.0,0.0,26.662790298461914,0.0,159.29998779296875,0.0,190.0,0.0,0.8430701037116931,0.0,-3216.2149892561774,0.0,258.0,0.0,258.0,0.0,3216.2149892561774,0.0,12.465950012207031,0.0,71.57499694824219,0.0,82.0,0.0,0.44154159519669867,0.0,-2293.0,0.0,258.0,0.0,258.0,0.0,2293.0,0.0,8.88759708404541,0.0,53.5999755859375,0.0,85.0,0.0,0.5076560627393196,0.0
episode_0001.csv,-1275.0268294649047,176.0755675134733,361.0,0.0,361.0,0.0,1275.026828262955,176.07557008159048,3.531930160522461,0.48774385215475846,20.06522216796875,3.164233294315739,35.04668006896973,5.187482335440619,0.26160841151925895,0.0296981460265898,-3261.1855609049553,1323.105990843407,361.0,0.0,361.0,0.0,3261.1855550826995,1323.1059698930555,9.033755493164062,3.6651139207506747,42.750082397460936,19.459553826715332,60.416482543945314,20.0847158281616,0.4275295236973645,0.05915905230020768,-1899.229391858168,0.0,361.0,0.0,361.0,0.0,1899.2293918581681,0.0,5.261023044586182,0.0,21.5,0.0,48.17816925048828,0.0,0.1556698264928324,0.0,-4133.0,0.0,361.0,0.0,361.0,0.0,4133.0,0.0,11.448753356933594,0.0,69.0,0.0,120.0,0.0,0.41871311910671755,0.0,-2331.261260176513,0.0,361.0,0.0,361.0,0.0,2331.2612601765127,0.0,6.45778751373291,0.0,35.54001235961914,0.0,51.77412414550781,0.0,0.21882135193915878,0.0,-2760.0,0.0,361.0,0.0,361.0,0.0,2760.0,0.0,7.6454291343688965,0.0,52.0,0.0,75.0,0.0,0.31728155092598687,0.0
episode_0002.csv,-43.68000000000001,19.297398788437786,138.0,0.0,138.0,0.0,43.679999923706056,19.29739881301921,0.31652173697948455,0.13983623459998135,2.498000091314316,1.3119627071552515,8.839999961853028,4.091747817426683,0.2648060100705557,0.04480020028715161,-134.18000001907347,47.95133568483979,138.0,0.0,138.0,0.0,134.18000001907347,47.95133568483979,0.9723188221454621,0.34747343636806727,10.414999890327454,5.059634266464273,19.4,6.1211926655716296,0.445089361420244,0.045714806995904696,-143.55,0.0,138.0,0.0,138.0,0.0,143.55,0.0,1.040217399597168,0.0,12.29998779296875,0.0,21.350000381469727,0.0,0.3393791850942473,0.0,-188.0,0.0,138.0,0.0,138.0,0.0,188.0,0.0,1.3623188734054565,0.0,14.149993896484375,0.0,27.0,0.0,0.481294750980438,0.0,-149.5,0.0,138.0,0.0,138.0,0.0,149.5,0.0,1.0833333730697632,0.0,12.29998779296875,0.0,22.0,0.0,0.35536985627797285,0.0,-188.0,0.0,138.0,0.0,138.0,0.0,188.0,0.0,1.3623188734054565,0.0,14.149993896484375,0.0,27.0,0.0,0.481294750980438,0.0
episode_0003.csv,-1729.9776968377114,413.97173082399956,381.0,0.0,381.0,0.0,1729.9776971746237,413.97172879914376,4.540623950958252,1.0865398223531133,20.499999618530275,3.9303943900116782,29.805177688598633,7.2999958863780865,0.30367752954816735,0.015765949543454533,-1645.3782154999674,405.1827040534249,381.0,0.0,381.0,0.0,1645.3782164894044,405.1827040514623,4.318578100204467,1.0634717062524075,22.310681915283205,3.8420674364711442,31.061882400512694,7.781519817656432,0.3616967185437059,0.018819364543182667,-1503.8303261005478,0.0,381.0,0.0,381.0,0.0,1503.8303261005476,0.0,3.947061538696289,0.0,20.0,0.0,30.035490036010742,0.0,0.30610155782791015,0.0,-2182.0,0.0,381.0,0.0,381.0,0.0,2182.0,0.0,5.727034091949463,0.0,31.0,0.0,46.0,0.0,0.3603842424891799,0.0,-1441.4286950698938,0.0,381.0,0.0,381.0,0.0,1441.4286950698938,0.0,3.7832775115966797,0.0,17.5,0.0,22.5,0.0,0.282188085662985,0.0,-2126.0,0.0,381.0,0.0,381.0,0.0,2126.0,0.0,5.580052375793457,0.0,30.0,0.0,46.0,0.0,0.35819205134752663,0.0
episode_0004.csv,-1117.4985624761698,222.58337160510342,287.0,0.0,287.0,0.0,1117.498561657383,222.58336906940946,3.893723392486572,0.7755521132765076,23.353446197509765,4.168890432912899,31.293402862548827,8.451054319185586,0.2254495839206186,0.03153538905955202,-1735.4716580241918,249.83931320434198,287.0,0.0,287.0,0.0,1735.4716520160437,249.83930712399956,6.046939468383789,0.8705201674869926,27.763671112060546,2.839286777687477,42.41999969482422,5.264085797152771,0.35593480541726796,0.06483649892475796,-1693.13947475002,0.0,287.0,0.0,287.0,0.0,1693.1394747500196,0.0,5.899440765380859,0.0,27.732877731323242,0.0,53.0,0.0,0.19301454239677873,0.0,-2930.0,0.0,287.0,0.0,287.0,0.0,2930.0,0.0,10.20905876159668,0.0,57.699981689453125,0.0,87.0,0.0,0.39781281202587143,0.0,-1957.0,0.0,287.0,0.0,287.0,0.0,1957.0,0.0,6.818815231323242,0.0,33.34999084472656,0.0,43.0,0.0,0.1966590790684485,0.0,-2376.0,0.0,287.0,0.0,287.0,0.0,2376.0,0.0,8.278745651245117,0.0,48.499908447265625,0.0,72.0,0.0,0.31626272168364417,0.0
episode_0005.csv,-6343.474230314464,1115.1831332118404,484.0,0.0,484.0,0.0,6343.47423030436,1115.1831355122422,13.10635166168213,2.304097346289744,46.05849914550781,9.680596871248744,59.47999954223633,11.943558678580429,0.24281956666800228,0.025424623909463637,-7136.070854856074,674.1038303595899,484.0,0.0,484.0,0.0,7136.070852056146,674.1038248355521,14.743947982788086,1.3927766692245562,46.987937927246094,4.410733200296276,61.24515228271484,3.51292163095166,0.34056829026523716,0.0441898470985881,-9214.104400023078,0.0,484.0,0.0,484.0,0.0,9214.104400023076,0.0,19.03740692138672,0.0,63.74250030517578,0.0,90.0,0.0,0.34062205066419665,0.0,-10948.0,0.0,484.0,0.0,484.0,0.0,10948.0,0.0,22.619834899902344,0.0,86.85000610351562,0.0,116.0,0.0,0.4126368900857538,0.0,-7041.281582015195,0.0,484.0,0.0,484.0,0.0,7041.281582015196,0.0,14.548102378845215,0.0,47.350006103515625,0.0,62.5,0.0,0.19197908642030576,0.0,-8310.0,0.0,484.0,0.0,484.0,0.0,8310.0,0.0,17.169422149658203,0.0,58.850006103515625,0.0,88.0,0.0,0.28699322408119865,0.0
episode_0006.csv,-401.8559407313579,232.9134117498154,215.0,0.0,215.0,0.0,401.85594125986097,232.91341229061604,1.86909738779068,1.0833181543668526,13.318947219848633,8.280659342111992,22.65440788269043,7.868652478274002,0.2768855735285857,0.052007347570444125,-1101.8703699320554,359.7371467994701,215.0,0.0,215.0,0.0,1101.8703703790902,359.737147164956,5.1249785900115965,1.6731961255468575,33.315999603271486,7.566014363657721,40.78000030517578,8.324457971288469,0.4051678755286373,0.040156586277030976,-1258.8,0.0,215.0,0.0,215.0,0.0,1258.8,0.0,5.854884147644043,0.0,31.51000213623047,0.0,42.349998474121094,0.0,0.20746303145477943,0.0,-1954.0,0.0,215.0,0.0,215.0,0.0,1954.0,0.0,9.088372230529785,0.0,61.800018310546875,0.0,79.0,0.0,0.40443004984606373,0.0,-1507.5,0.0,215.0,0.0,215.0,0.0,1507.5,0.0,7.011627674102783,0.0,43.30000305175781,0.0,47.5,0.0,0.20324751107917638,0.0,-1413.0,0.0,215.0,0.0,215.0,0.0,1413.0,0.0,6.5720930099487305,0.0,44.0,0.0,64.0,0.0,0.3037103402740175,0.0
episode_0007.csv,-440.6539814268362,298.26666639239335,221.0,0.0,221.0,0.0,440.6539815187454,298.266665431797,1.9939093470573426,1.3496228102515455,14.420000171661377,9.740564661381889,19.25999994277954,10.843680054083396,0.3018297935051257,0.07567960316807922,-2269.935488805175,641.7553388718688,221.0,0.0,221.0,0.0,2269.935482776165,641.7553336203642,10.271201515197754,2.9038704225910026,51.14999923706055,13.939296425861077,57.26000061035156,14.296937484174448,0.7323810026294797,0.0688685479140286,-2443.2999999999997,0.0,221.0,0.0,221.0,0.0,2443.3,0.0,11.055656433105469,0.0,75.75,0.0,93.75,0.0,0.729815885939583,0.0,-5531.0,0.0,221.0,0.0,221.0,0.0,5531.0,0.0,25.027149200439453,0.0,141.0,0.0,159.0,0.0,0.9930226662318431,0.0,-2539.0,0.0,221.0,0.0,221.0,0.0,2539.0,0.0,11.488687515258789,0.0,57.5,0.0,64.5,0.0,0.560626453908813,0.0,-2012.0,0.0,221.0,0.0,221.0,0.0,2012.0,0.0,9.104072570800781,0.0,66.0,0.0,88.0,0.0,0.6784549848898365,0.0
episode_0008.csv,-417.78000000000003,40.968214508323406,197.0,0.0,197.0,0.0,417.7800001859665,40.968215318351064,2.1207106828689577,0.20796048286340338,19.18400058746338,2.4920483413342986,26.300000381469726,2.3143031135457215,0.3163233683441079,0.023463151024643348,-795.385601067543,184.10209031293783,197.0,0.0,197.0,0.0,795.3856003046036,184.10208987422072,4.037490177154541,0.934528269193387,32.43600006103516,6.924534692632713,37.90999984741211,5.7292581261047815,0.4476121865162363,0.04014900506239925,-773.8500000000001,0.0,197.0,0.0,197.0,0.0,773.8499999999999,0.0,3.9281728267669678,0.0,29.839998245239258,0.0,35.79999923706055,0.0,0.40827834769011084,0.0,-1225.0,0.0,197.0,0.0,197.0,0.0,1225.0,0.0,6.218274116516113,0.0,55.0,0.0,59.0,0.0,0.5621130316427235,0.0,-830.0,0.0,197.0,0.0,197.0,0.0,830.0,0.0,4.213198184967041,0.0,31.29999542236328,0.0,38.0,0.0,0.3702962852327108,0.0,-900.0,0.0,197.0,0.0,197.0,0.0,900.0,0.0,4.568527698516846,0.0,40.0,0.0,56.0,0.0,0.5096060778116287,0.0
episode_0009.csv,-1769.0915494757146,242.71730621328263,263.0,0.0,263.0,0.0,1769.091546458006,242.71730750649877,6.726583671569824,0.9228794632468429,42.19199981689453,5.892596344907892,52.21999969482422,5.973825789627649,0.4324153667350839,0.03228729197173267,-3458.5850103601815,679.7205212246855,263.0,0.0,263.0,0.0,3458.585015305877,679.7205220100769,13.150513076782227,2.584488781288837,65.48183746337891,10.071634901026368,72.40999908447266,9.257989871389224,0.5954905840484993,0.06198308748246289,-3141.748600500122,0.0,263.0,0.0,263.0,0.0,3141.7486005001224,0.0,11.945812225341797,0.0,80.55995178222656,0.0,100.25,0.0,0.5198731606317627,0.0,-4780.0,0.0,263.0,0.0,263.0,0.0,4780.0,0.0,18.17490577697754,0.0,114.0,0.0,136.0,0.0,0.6253575430743661,0.0,-3057.5,0.0,263.0,0.0,263.0,0.0,3057.5,0.0,11.62547492980957,0.0,66.84999084472656,0.0,74.0,0.0,0.3999051170425928,0.0,-2773.0,0.0,263.0,0.0,263.0,0.0,2773.0,0.0,10.543725967407227,0.0,67.69998168945312,0.0,97.0,0.0,0.48889473516405524,0.0
