variant,label,step,mean_reward,std_reward_across_seeds,n_seeds,n_points
full_o2o_iql,Full O2O-IQL,7112,-3664.5349886121553,554.1843294653372,3,3
full_o2o_iql,Full O2O-IQL,7250,-3693.2721427179968,561.7538204455503,3,3
full_o2o_iql,Full O2O-IQL,7267,-3697.0513464518135,563.1589920730756,3,3
full_o2o_iql,Full O2O-IQL,7374,-3730.1607007155485,560.1317152150498,3,3
full_o2o_iql,Full O2O-IQL,7428,-3700.1012605546966,540.4054078566162,3,3
full_o2o_iql,Full O2O-IQL,7544,-3557.3980549115718,423.410779327382,3,3
full_o2o_iql,Full O2O-IQL,7646,-3504.3686296281435,413.9508046053747,3,3
full_o2o_iql,Full O2O-IQL,7662,-3486.621839914306,425.4185064898603,3,3
full_o2o_iql,Full O2O-IQL,7815,-3382.943114153945,525.858965888496,3,3
full_o2o_iql,Full O2O-IQL,7914,-3188.6784224462244,747.0934883150236,3,3
full_o2o_iql,Full O2O-IQL,7931,-3158.805070986069,790.2333915726077,3,3
full_o2o_iql,Full O2O-IQL,7950,-3114.1161057936843,837.2550583767372,3,3
full_o2o_iql,Full O2O-IQL,8094,-2854.905391831338,1095.6053845138008,3,3
full_o2o_iql,Full O2O-IQL,8105,-2843.1779564550325,1115.5297442835802,3,3
full_o2o_iql,Full O2O-IQL,8265,-2844.8758093627334,1194.3503891279522,3,3
full_o2o_iql,Full O2O-IQL,8334,-2846.20419991955,1228.4892687072274,3,3
full_o2o_iql,Full O2O-IQL,8375,-2817.114331385764,1284.9356043308212,3,3
full_o2o_iql,Full O2O-IQL,8585,-2606.851574055742,1503.9232459810173,3,3
full_o2o_iql,Full O2O-IQL,8586,-2606.737147187661,1503.8599982948942,3,3
full_o2o_iql,Full O2O-IQL,8646,-2603.440036613881,1500.409207665426,3,3
full_o2o_iql,Full O2O-IQL,8777,-2502.7918503549176,1385.4449199383398,3,3
full_o2o_iql,Full O2O-IQL,8827,-2464.316655912164,1342.9281424532949,3,3
full_o2o_iql,Full O2O-IQL,8883,-2405.0195988045493,1292.4281828293751,3,3
full_o2o_iql,Full O2O-IQL,8974,-2424.141851545912,1339.3992007285387,3,3
full_o2o_iql,Full O2O-IQL,8976,-2425.0522862171347,1339.8497566074636,3,3
full_o2o_iql,Full O2O-IQL,9167,-2566.637399069648,1395.0545643119463,3,3
full_o2o_iql,Full O2O-IQL,9286,-2689.9268044465866,1433.1835832540621,3,3
full_o2o_iql,Full O2O-IQL,9441,-2643.481699970402,1237.5989462660496,3,3
full_o2o_iql,Full O2O-IQL,9513,-2605.438188141971,1174.3406785613395,3,3
full_o2o_iql,Full O2O-IQL,9550,-2595.1401192728486,1153.7227858503602,3,3
full_o2o_iql,Full O2O-IQL,9612,-2593.0627440454737,1127.2878359864262,3,3
full_o2o_iql,Full O2O-IQL,9768,-2585.8402065973914,1089.93374244972,3,3
full_o2o_iql,Full O2O-IQL,9850,-2631.0246287110376,1119.8853130129644,3,3
full_o2o_iql,Full O2O-IQL,9895,-2658.3602460413813,1133.752402565399,3,3
full_o2o_iql,Full O2O-IQL,9965,-2663.486544810198,1128.6150079570116,3,3
full_o2o_iql,Full O2O-IQL,10105,-2638.322690136009,1094.7287185848445,3,3
full_o2o_iql,Full O2O-IQL,10207,-2613.89192683015,1079.602842205261,3,3
full_o2o_iql,Full O2O-IQL,10208,-2613.7832914884834,1079.5380320625636,3,3
full_o2o_iql,Full O2O-IQL,10220,-2580.299672046861,1053.5408219897754,3,3
full_o2o_iql,Full O2O-IQL,10379,-2134.489700161915,870.2770286449631,3,3
full_o2o_iql,Full O2O-IQL,10423,-2137.073796466744,865.2391144447928,3,3
full_o2o_iql,Full O2O-IQL,10542,-2142.090818999291,855.325565284859,3,3
full_o2o_iql,Full O2O-IQL,10570,-2117.658479461372,823.0909963516592,3,3
full_o2o_iql,Full O2O-IQL,10775,-1912.8634998938176,667.4479634848082,3,3
full_o2o_iql,Full O2O-IQL,10797,-1888.4968286147148,655.4478162909852,3,3
full_o2o_iql,Full O2O-IQL,10812,-1869.2360185107912,646.4465000010131,3,3
full_o2o_iql,Full O2O-IQL,10889,-1822.2206892041468,539.0714343216857,3,3
full_o2o_iql,Full O2O-IQL,10992,-1871.5594028938824,464.0053115589207,3,3
full_o2o_iql,Full O2O-IQL,11099,-1901.298624955503,365.56045476831673,3,3
full_o2o_iql,Full O2O-IQL,11114,-1909.0083757415548,355.24828681175575,3,3
full_o2o_iql,Full O2O-IQL,11215,-1964.6186943680489,288.2042646269257,3,3
full_o2o_iql,Full O2O-IQL,11297,-1987.7063284749913,264.4151120380135,3,3
full_o2o_iql,Full O2O-IQL,11390,-1947.5074125154842,248.2607322068519,3,3
full_o2o_iql,Full O2O-IQL,11557,-1800.6972664266261,244.65025184854193,3,3
full_o2o_iql,Full O2O-IQL,11618,-1786.4265612191273,227.29736264034776,3,3
full_o2o_iql,Full O2O-IQL,11716,-1788.517038153853,236.81771938719854,3,3
full_o2o_iql,Full O2O-IQL,11779,-1778.3868392615939,239.1315100326498,3,3
full_o2o_iql,Full O2O-IQL,11830,-1779.441151463266,247.46380999432455,3,3
full_o2o_iql,Full O2O-IQL,12026,-1707.099218526101,387.367479293562,3,3
full_o2o_iql,Full O2O-IQL,12071,-1712.051428658806,389.0617172690517,3,3
full_o2o_iql,Full O2O-IQL,12081,-1707.8165547101216,386.1877635250014,3,3
full_o2o_iql,Full O2O-IQL,12212,-1644.3325753814997,353.6296506256848,3,3
full_o2o_iql,Full O2O-IQL,12240,-1667.5117842289553,360.3239215360631,3,3
full_o2o_iql,Full O2O-IQL,12263,-1680.8294177513287,362.5557661455227,3,3
full_o2o_iql,Full O2O-IQL,12402,-1764.2476853933083,421.90446893913673,3,3
full_o2o_iql,Full O2O-IQL,12513,-1858.0609820677291,514.8832998151358,3,3
full_o2o_iql,Full O2O-IQL,12522,-1865.6684115278174,522.966955483434,3,3
full_o2o_iql,Full O2O-IQL,12637,-1963.6188642113746,630.1704796886638,3,3
full_o2o_iql,Full O2O-IQL,12672,-1994.0760130899182,664.0975297371062,3,3
full_o2o_iql,Full O2O-IQL,12802,-1991.0849160300697,641.65316007414,3,3
full_o2o_iql,Full O2O-IQL,12832,-1986.902334195415,640.538893555731,3,3
full_o2o_iql,Full O2O-IQL,12910,-1977.2613455146204,637.653607868618,3,3
full_o2o_iql,Full O2O-IQL,13115,-2141.5858883281962,874.7810572957696,3,3
full_o2o_iql,Full O2O-IQL,13174,-2184.1144848198205,949.2669825826073,3,3
full_o2o_iql,Full O2O-IQL,13370,-2329.967271168483,1196.4604344654258,3,3
full_o2o_iql,Full O2O-IQL,13389,-2328.344528033819,1199.2954905866382,3,3
full_o2o_iql,Full O2O-IQL,13454,-2319.7054163391704,1209.9386406394742,3,3
full_o2o_iql,Full O2O-IQL,13608,-2314.268527489483,1219.2785857617066,3,3
full_o2o_iql,Full O2O-IQL,13627,-2307.7874761013754,1212.6844887961295,3,3
full_o2o_iql,Full O2O-IQL,13692,-2286.363001963474,1190.037741395438,3,3
full_o2o_iql,Full O2O-IQL,13724,-2276.8282885030344,1177.848198445261,3,3
full_o2o_iql,Full O2O-IQL,13861,-2277.0186781959687,1180.0989601222436,3,3
full_o2o_iql,Full O2O-IQL,13872,-2279.592428516998,1183.6647725818711,3,3
full_o2o_iql,Full O2O-IQL,13898,-2299.7171758337554,1176.8101717533195,3,3
full_o2o_iql,Full O2O-IQL,14097,-2207.6527017510093,1269.0141810889784,3,3
full_o2o_iql,Full O2O-IQL,14296,-2355.2789425325714,1271.3400369413143,3,3
full_o2o_iql,Full O2O-IQL,14306,-2359.854542584321,1273.3785721746883,3,3
full_o2o_iql,Full O2O-IQL,14371,-2401.509518058887,1276.5481131971405,3,3
full_o2o_iql,Full O2O-IQL,14635,-2590.8804754413936,1317.8785153104875,3,3
full_o2o_iql,Full O2O-IQL,14825,-2709.976488016742,1362.9047256500337,3,3
full_o2o_iql,Full O2O-IQL,14841,-2704.81954841001,1345.524735044481,3,3
full_o2o_iql,Full O2O-IQL,14960,-2638.3599866213185,1230.447001933543,3,3
full_o2o_iql,Full O2O-IQL,14981,-2630.7890312321783,1208.1092296299637,3,3
full_o2o_iql,Full O2O-IQL,15098,-2624.3092676996625,1051.3844066065392,3,3
full_o2o_iql,Full O2O-IQL,15225,-2716.774574406934,1020.1857575131736,3,3
full_o2o_iql,Full O2O-IQL,15309,-2772.1744276737413,1003.0283980375191,3,3
full_o2o_iql,Full O2O-IQL,15531,-2878.691177918207,992.7248427095752,3,3
full_o2o_iql,Full O2O-IQL,15635,-2922.5346834796223,991.6385225170916,3,3
full_o2o_iql,Full O2O-IQL,15771,-2943.085130915344,938.7695205558523,3,3
full_o2o_iql,Full O2O-IQL,15772,-2943.1636311523653,938.4274793025313,3,3
full_o2o_iql,Full O2O-IQL,15798,-2949.5486236234588,935.6874562780931,3,3
full_o2o_iql,Full O2O-IQL,15962,-2955.7724146277747,945.0666795675031,3,3
full_o2o_iql,Full O2O-IQL,15991,-2957.2297131448263,946.4991035677685,3,3
full_o2o_iql,Full O2O-IQL,16066,-2964.6492306656414,947.3701324151541,3,3
full_o2o_iql,Full O2O-IQL,16204,-2926.3260047038143,875.5966392849558,3,3
full_o2o_iql,Full O2O-IQL,16307,-2896.925263590311,822.546790209313,3,3
full_o2o_iql,Full O2O-IQL,16391,-2937.5978412434474,870.6367529241251,3,3
full_o2o_iql,Full O2O-IQL,16420,-2930.5007593400446,903.5252283121059,3,3
full_o2o_iql,Full O2O-IQL,16686,-2905.9469961143277,1209.483186568831,3,3
full_o2o_iql,Full O2O-IQL,16706,-2908.9553494837164,1229.111670845066,3,3
full_o2o_iql,Full O2O-IQL,16751,-2896.4108450388535,1247.481696238251,3,3
full_o2o_iql,Full O2O-IQL,16955,-2819.595210562184,1342.051723973955,3,3
full_o2o_iql,Full O2O-IQL,16956,-2820.025791239408,1341.6332238783452,3,3
full_o2o_iql,Full O2O-IQL,17031,-2843.988535165459,1299.3961373408704,3,3
full_o2o_iql,Full O2O-IQL,17159,-2901.732160277062,1223.867650528389,3,3
full_o2o_iql,Full O2O-IQL,17272,-2966.571517949103,1175.4784054705376,3,3
full_o2o_iql,Full O2O-IQL,17400,-3009.3596097965515,1154.5071657121662,3,3
full_o2o_iql,Full O2O-IQL,17445,-3016.789992423552,1148.7204091197893,3,3
full_o2o_iql,Full O2O-IQL,17582,-3037.3367772917386,1128.4613632788164,3,3
full_o2o_iql,Full O2O-IQL,17672,-3054.9763430132207,1120.7058743254156,3,3
full_o2o_iql,Full O2O-IQL,17692,-3056.6912586750823,1121.3992177963703,3,3
full_o2o_iql,Full O2O-IQL,17903,-3094.9212328521335,1124.3017449185495,3,3
full_o2o_iql,Full O2O-IQL,17982,-3118.7051429589424,1114.9715357824737,3,3
full_o2o_iql,Full O2O-IQL,18038,-3132.987579544264,1104.9778733177936,3,3
full_o2o_iql,Full O2O-IQL,18105,-3136.198288592301,1095.8930148247355,3,3
full_o2o_iql,Full O2O-IQL,18161,-3054.1359021557787,977.021272547005,3,3
full_o2o_iql,Full O2O-IQL,18355,-2790.7445033316994,580.814902653153,3,3
full_o2o_iql,Full O2O-IQL,18399,-2796.2825939084964,571.4562853568066,3,3
full_o2o_iql,Full O2O-IQL,18457,-2796.824660387927,567.9113299685579,3,3
full_o2o_iql,Full O2O-IQL,18490,-2795.712625158041,565.6514659659075,3,3
full_o2o_iql,Full O2O-IQL,18619,-2406.376687670158,345.9605286352255,3,3
full_o2o_iql,Full O2O-IQL,18641,-2412.472868022364,342.2757246350695,3,3
full_o2o_iql,Full O2O-IQL,18707,-2427.266970666919,336.1683494951895,3,3
full_o2o_iql,Full O2O-IQL,18762,-2429.3544378354177,319.72083782837956,3,3
full_o2o_iql,Full O2O-IQL,18976,-2434.662862181663,289.9420551951823,3,3
full_o2o_iql,Full O2O-IQL,19029,-2450.057641002354,303.10260841347997,3,3
full_o2o_iql,Full O2O-IQL,19106,-2467.154376384901,331.28474556471195,3,3
full_o2o_iql,Full O2O-IQL,19166,-2468.713043564538,346.4207062357179,3,3
full_o2o_iql,Full O2O-IQL,19191,-2471.7946669009816,349.2989332383143,3,3
full_o2o_iql,Full O2O-IQL,19327,-2481.2905066068283,359.7665084371422,3,3
full_o2o_iql,Full O2O-IQL,19356,-2483.3969035040213,361.95895413257324,3,3
full_o2o_iql,Full O2O-IQL,19529,-2072.2076419533237,545.4031479896194,3,3
full_o2o_iql,Full O2O-IQL,19561,-2036.833582349649,591.9290964406888,3,3
full_o2o_iql,Full O2O-IQL,19610,-1985.370270425561,669.0855833625751,3,3
full_o2o_iql,Full O2O-IQL,19638,-1956.3132701787097,714.1572336194429,3,3
full_o2o_iql,Full O2O-IQL,19749,-1972.592424828407,732.5098827740195,3,3
full_o2o_iql,Full O2O-IQL,19888,-1992.5350963012568,755.7428388839224,3,3
full_o2o_iql,Full O2O-IQL,19948,-1981.377430712829,789.685045799687,3,3
full_o2o_iql,Full O2O-IQL,19949,-1981.0301336773512,790.2553838196751,3,3
full_o2o_iql,Full O2O-IQL,20061,-1977.9751538971693,899.1319374666053,3,3
full_o2o_iql,Full O2O-IQL,20242,-2017.0436169936845,1027.360179494697,3,3
full_o2o_iql,Full O2O-IQL,20388,-2038.4791575516717,1137.4866591142836,3,3
full_o2o_iql,Full O2O-IQL,20429,-2040.809129001458,1173.0103200425458,3,3
full_o2o_iql,Full O2O-IQL,20474,-2025.6658089802456,1218.0983109155281,3,3
full_o2o_iql,Full O2O-IQL,20531,-1954.6621275404239,1205.8779324303484,3,3
full_o2o_iql,Full O2O-IQL,20632,-1846.1516187407387,1169.8431457370712,3,3
full_o2o_iql,Full O2O-IQL,20745,-1767.7347783590128,1112.3923312430832,3,3
full_o2o_iql,Full O2O-IQL,20756,-1769.9618277232742,1120.5774183649646,3,3
full_o2o_iql,Full O2O-IQL,20917,-1803.0059633670755,1242.0789452400281,3,3
full_o2o_iql,Full O2O-IQL,21062,-1868.4058237212205,1332.8932411848907,3,3
full_o2o_iql,Full O2O-IQL,21094,-1796.2765995582313,1231.2107226797907,3,3
full_o2o_iql,Full O2O-IQL,21177,-1615.4817455776974,962.5709609236694,3,3
full_o2o_iql,Full O2O-IQL,21211,-1618.5320324950833,960.7409990320933,3,3
full_o2o_iql,Full O2O-IQL,21427,-1628.7425816984244,954.6274975564199,3,3
full_o2o_iql,Full O2O-IQL,21496,-1690.3447108529108,1035.1115486947044,3,3
full_o2o_iql,Full O2O-IQL,21514,-1700.945970382938,1060.5379912784595,3,3
full_o2o_iql,Full O2O-IQL,21719,-1850.3071156627466,1334.1391922501111,3,3
full_o2o_iql,Full O2O-IQL,21809,-1940.0719802799738,1434.0280615740562,3,3
full_o2o_iql,Full O2O-IQL,21972,-2137.494383060642,1596.0431563395725,3,3
full_o2o_iql,Full O2O-IQL,22008,-2157.972365623216,1599.5691591069024,3,3
full_o2o_iql,Full O2O-IQL,22216,-2200.5742675169613,1693.5932925469215,3,3
full_o2o_iql,Full O2O-IQL,22222,-2206.2421031319504,1692.1516644248104,3,3
full_o2o_iql,Full O2O-IQL,22433,-2281.075258016331,1701.148924320006,3,3
full_o2o_iql,Full O2O-IQL,22579,-2262.590518698324,1619.873156397952,3,3
full_o2o_iql,Full O2O-IQL,22619,-2261.1668046737104,1596.7194417338148,3,3
full_o2o_iql,Full O2O-IQL,22802,-2135.4452282989328,1582.1083273730578,3,3
full_o2o_iql,Full O2O-IQL,22812,-2132.049355621056,1586.2196683061177,3,3
full_o2o_iql,Full O2O-IQL,22818,-2131.8646065356797,1587.272035653729,3,3
full_o2o_iql,Full O2O-IQL,22932,-2144.904903554585,1596.6225218457682,3,3
full_o2o_iql,Full O2O-IQL,23097,-2101.446161098218,1654.819716167975,3,3
full_o2o_iql,Full O2O-IQL,23113,-2103.5416690680554,1656.0948283498624,3,3
full_o2o_iql,Full O2O-IQL,23134,-2104.588755236147,1655.3642520015921,3,3
full_o2o_iql,Full O2O-IQL,23270,-2097.3518737695367,1660.0483092987597,3,3
full_o2o_iql,Full O2O-IQL,23314,-2100.529387585175,1669.3652484195732,3,3
full_o2o_iql,Full O2O-IQL,23396,-2108.5531027346988,1685.1706715597677,3,3
full_o2o_iql,Full O2O-IQL,23485,-2179.5628952075585,1662.0343684744537,3,3
full_o2o_iql,Full O2O-IQL,23510,-2205.7831620787315,1651.0869932987634,3,3
full_o2o_iql,Full O2O-IQL,23703,-2384.2828407104753,1537.225582633916,3,3
full_o2o_iql,Full O2O-IQL,23857,-2497.5151080052424,1412.4884074767456,3,3
full_o2o_iql,Full O2O-IQL,23862,-2497.635240163257,1410.054658586214,3,3
full_o2o_iql,Full O2O-IQL,23946,-2530.887492494738,1412.6024903650161,3,3
full_o2o_iql,Full O2O-IQL,24038,-2545.2792667577596,1436.4289033386178,3,3
full_o2o_iql,Full O2O-IQL,24214,-2568.772104795091,1484.1475745164691,3,3
full_o2o_iql,Full O2O-IQL,24229,-2579.2681101907942,1484.1688750614317,3,3
full_o2o_iql,Full O2O-IQL,24293,-2624.851909350111,1484.1471637334344,3,3
full_o2o_iql,Full O2O-IQL,24441,-2697.5627920856646,1443.3761448140451,3,3
full_o2o_iql,Full O2O-IQL,24460,-2708.7362164695064,1441.141562787196,3,3
full_o2o_iql,Full O2O-IQL,24608,-2791.2132696286467,1432.3358154961472,3,3
full_o2o_iql,Full O2O-IQL,24683,-2862.792907623613,1469.6174262887441,3,3
full_o2o_iql,Full O2O-IQL,24795,-2948.7436245467306,1530.3739098978358,3,3
full_o2o_iql,Full O2O-IQL,24990,-3113.7627015622534,1619.400989867254,3,3
full_o2o_iql,Full O2O-IQL,25106,-3174.4317168478196,1624.3086383401444,3,3
full_o2o_iql,Full O2O-IQL,25140,-3189.7636286756374,1628.7499924824247,3,3
full_o2o_iql,Full O2O-IQL,25222,-3236.8307300474057,1639.0275210614564,3,3
full_o2o_iql,Full O2O-IQL,25335,-3293.9953230174956,1664.4845708355867,3,3
full_o2o_iql,Full O2O-IQL,25399,-3322.7803427916238,1675.69369487124,3,3
full_o2o_iql,Full O2O-IQL,25522,-3386.47879822041,1689.2787832819922,3,3
full_o2o_iql,Full O2O-IQL,25537,-3387.8367642742523,1690.6446721590926,3,3
full_o2o_iql,Full O2O-IQL,25718,-3410.608675165455,1699.1205339006474,3,3
full_o2o_iql,Full O2O-IQL,25766,-3406.7940388787006,1713.749412600834,3,3
full_o2o_iql,Full O2O-IQL,25791,-3408.985945959254,1726.3447500410507,3,3
full_o2o_iql,Full O2O-IQL,25884,-3415.7746751890904,1773.1260628128634,3,3
full_o2o_iql,Full O2O-IQL,25958,-3433.6790917844314,1794.7401328740068,3,3
full_o2o_iql,Full O2O-IQL,26049,-3443.7743588943194,1821.103810803533,3,3
full_o2o_iql,Full O2O-IQL,26099,-3445.0966940904705,1841.0390206469144,3,3
full_o2o_iql,Full O2O-IQL,26175,-3461.3386159160386,1871.5986582945952,3,3
full_o2o_iql,Full O2O-IQL,26252,-3397.3769626892827,1805.2859368117217,3,3
full_o2o_iql,Full O2O-IQL,26426,-3282.432550055226,1624.0570385420099,3,3
full_o2o_iql,Full O2O-IQL,26544,-3201.0982336450743,1505.4065307102285,3,3
full_o2o_iql,Full O2O-IQL,26741,-3262.572780111908,1528.3815921003406,3,3
full_o2o_iql,Full O2O-IQL,26751,-3253.8977099799595,1544.9953659638272,3,3
full_o2o_iql,Full O2O-IQL,26864,-3170.38475180736,1737.0414885756575,3,3
full_o2o_iql,Full O2O-IQL,26966,-3181.24655439759,1796.9574250489939,3,3
full_o2o_iql,Full O2O-IQL,27033,-3118.71307431421,1763.1157964962945,3,3
full_o2o_iql,Full O2O-IQL,27135,-3055.0666928124933,1674.4538494159547,3,3
full_o2o_iql,Full O2O-IQL,27182,-3065.214827982703,1673.5564844446853,3,3
full_o2o_iql,Full O2O-IQL,27300,-3050.9933102566233,1655.4121748849757,3,3
full_o2o_iql,Full O2O-IQL,27361,-3049.3871064994237,1652.0032461579483,3,3
full_o2o_iql,Full O2O-IQL,27458,-3067.679925824554,1654.4497052772315,3,3
full_o2o_iql,Full O2O-IQL,27593,-3085.057349501533,1668.9116373285697,3,3
full_o2o_iql,Full O2O-IQL,27633,-3101.5995467288917,1657.682724410335,3,3
full_o2o_iql,Full O2O-IQL,27680,-3125.2156602020445,1645.9644014393862,3,3
full_o2o_iql,Full O2O-IQL,27859,-2720.1989011602677,1201.2763918773267,3,3
full_o2o_iql,Full O2O-IQL,27910,-2715.134664995922,1173.4814562233848,3,3
full_o2o_iql,Full O2O-IQL,27979,-2688.6108185231155,1165.7344578482441,3,3
