,normal_0011,normal_0012,normal_0015,normal_0017,normal_0019,normal_0014,normal_0002,normal_0007,normal_0006,normal_0008,normal_0001,normal_0004,normal_0003,normal_0000,normal_0013,normal_0009,normal_0018,normal_0010,normal_0016,normal_0005,bias_0040,bias_0020,bias_0049,bias_0014,bias_0004,bias_0013,bias_0005,bias_0030,bias_0027,bias_0009,bias_0011,bias_0008,bias_0039,bias_0044,bias_0032,bias_0019,bias_0045,bias_0022,bias_0021,bias_0007,bias_0038,bias_0033,bias_0028,bias_0001,bias_0000,bias_0002,bias_0029,bias_0026,bias_0018,bias_0023,extreme_0000,extreme_0001,extreme_0002,extreme_0003,extreme_0004,extreme_0005,extreme_0006,extreme_0007,extreme_0008,extreme_0009,extreme_0010,extreme_0011,extreme_0012,extreme_0013,extreme_0014,extreme_0015,extreme_0016,extreme_0017,extreme_0018,extreme_0019,extreme_0020,extreme_0021,extreme_0022,extreme_0023,extreme_0024,extreme_0025,extreme_0026,extreme_0027,extreme_0028,extreme_0029
o2o-iql,0.0,0.0,0.0,0.0,0.0,0.0159695819020271,0.220289871096611,0.6095022559165955,0.9976744055747986,1.799492359161377,2.697082757949829,3.3013856410980225,3.6432714462280273,3.924909830093384,5.0324482917785645,5.118767738342285,5.3164591789245605,6.160800933837891,9.282098770141602,10.625351905822754,3.171350717544556,2.568188190460205,3.7750961780548096,2.63349986076355,4.256716251373291,4.380731105804443,3.198175430297852,4.400838851928711,3.939506053924561,6.959910392761231,8.346940994262695,11.209996223449709,10.769865036010742,12.16272258758545,9.59322452545166,9.012959480285645,9.575976371765137,20.769088745117188,12.556687355041504,16.93067169189453,21.284936904907227,17.220687866210938,21.9605712890625,27.335424423217773,36.79920959472656,22.94320678710937,32.150760650634766,28.496850967407227,36.67490005493164,50.10773849487305,17.160541534423828,16.039016723632812,38.31205368041992,19.628952026367188,19.930419921875,33.44459533691406,35.919471740722656,16.016357421875,24.814756393432617,24.18421936035156,35.384159088134766,13.820555686950684,35.52994918823242,21.187257766723636,17.09366798400879,20.778047561645508,26.79606437683105,21.207061767578125,33.897789001464844,40.86167144775391,25.376686096191406,19.327512741088867,33.42577362060547,22.93601417541504,17.37726593017578,45.843387603759766,31.705820083618164,45.006744384765625,19.030467987060547,25.53168487548828
ppo,0.0,0.0008228460210375,0.0500574931502342,0.0,0.0,0.1679999977350235,0.3478260934352875,6.25114631652832,2.0480077266693115,2.180964469909668,4.269625186920166,4.892110347747803,3.23184585571289,8.603872299194336,8.607769012451172,9.65101718902588,6.265843868255615,8.029407501220703,9.977487564086914,13.15110683441162,6.460951328277588,10.542601585388184,4.899057865142822,8.057767868041992,8.417759895324707,5.338276386260986,11.280855178833008,7.5037665367126465,14.66104507446289,4.329690933227539,7.406277656555176,10.36939811706543,10.984063148498535,13.22382354736328,12.788324356079102,10.676210403442385,16.392915725708008,26.777379989624023,22.499698638916016,19.078384399414062,25.654279708862305,23.517423629760746,36.37717056274414,33.53834915161133,47.602806091308594,33.00343704223633,31.08867454528809,32.98090362548828,30.12982940673828,55.60724639892578,23.20279312133789,31.984149932861328,65.41363525390625,39.23992538452149,40.174800872802734,63.12094879150391,66.87168884277344,35.36275100708008,46.5413703918457,41.42332077026367,58.31953048706055,25.291296005249023,56.91592788696289,42.53645706176758,30.956077575683597,36.979400634765625,47.90216445922852,43.13236999511719,59.34653854370117,61.00117492675781,51.10365676879883,42.66483688354492,54.67060852050781,36.0426025390625,35.35422897338867,65.29483795166016,58.10762023925781,75.6429672241211,41.55678939819336,43.62367248535156
eoi,0.5764706134796143,0.0401606410741806,0.5018264651298523,0.1604938209056854,0.0,0.2547528445720672,1.040217399597168,11.055656433105469,5.854884147644043,3.928172826766968,5.261023044586182,5.899440765380859,3.947061538696289,8.315247535705566,13.022037506103516,11.945812225341797,12.713970184326172,7.123800754547119,11.532218933105469,19.03740692138672,7.983689785003662,31.45083999633789,9.655779838562012,11.82826042175293,13.37307834625244,13.25,30.23578453063965,13.753158569335938,34.098148345947266,9.23893928527832,12.503765106201172,14.566594123840332,13.23709774017334,16.041391372680664,17.22335433959961,21.39326477050781,39.271934509277344,36.33583068847656,52.087039947509766,21.935441970825195,26.999113082885746,28.24884986877441,40.30916976928711,39.43306350708008,54.47057342529297,46.00570297241211,40.63897705078125,36.36305236816406,43.34639739990234,69.2443618774414,33.18010330200195,36.97621154785156,61.658294677734375,38.6273193359375,47.58806228637695,64.2330551147461,66.12802124023438,34.37879180908203,44.88787078857422,44.96640396118164,55.39029693603516,33.86863708496094,54.7863883972168,40.11722946166992,44.18982696533203,43.41627883911133,47.007286071777344,47.35649490356445,59.66410446166992,60.690467834472656,51.055702209472656,42.11148452758789,55.49792098999024,36.290016174316406,35.492027282714844,60.14214324951172,51.29452896118164,65.86824798583984,39.39820861816406,50.64900588989258
all-no-split,0.5764706134796143,0.2008032202720642,0.8675799369812012,0.1666666716337204,0.0,0.4676806032657623,1.3623188734054563,25.027149200439453,9.088372230529783,6.218274116516113,11.448753356933594,10.20905876159668,5.727034091949463,26.662790298461918,17.93899154663086,18.17490577697754,19.19485282897949,17.815603256225586,13.156908988952637,22.619834899902344,8.185393333435059,33.7925910949707,9.05080223083496,12.795517921447754,12.684210777282717,14.229166984558104,33.29411697387695,15.40586757659912,37.802467346191406,10.043814659118652,12.05947971343994,14.99622631072998,16.487804412841797,15.838815689086914,17.720930099487305,22.64538955688477,43.63718795776367,36.804195404052734,55.66225051879883,19.98933982849121,25.97150993347168,29.46774101257324,39.9205436706543,40.53156280517578,53.766056060791016,46.80729293823242,40.344356536865234,36.8270149230957,43.91193008422852,68.03787994384766,38.47216033935547,40.8337287902832,71.75,46.54966735839844,48.70503616333008,74.4786148071289,75.89505004882812,40.740047454833984,53.340091705322266,50.0,64.2123031616211,32.905616760253906,64.44359588623047,49.34115219116211,44.29452133178711,48.290321350097656,56.49673080444336,51.06932830810547,67.59149932861328,73.57142639160156,58.211692810058594,49.58392333984375,65.17288970947266,41.19260787963867,42.80229949951172,70.56546783447266,62.54117584228516,84.32417297363281,48.05773162841797,57.353511810302734
greedy-split,0.5764706134796143,0.2008032202720642,0.7922374606132507,0.1666666716337204,0.0,0.3840304315090179,1.0833333730697632,11.488687515258787,7.011627674102783,4.213198184967041,6.45778751373291,6.818815231323242,3.78327751159668,12.465950012207031,13.02176284790039,11.62547492980957,10.91911792755127,7.57446813583374,9.309432983398438,14.548102378845217,5.051731109619141,15.670587539672852,5.687028884887695,8.03781509399414,10.437975883483888,6.297916889190674,18.72164535522461,8.426586151123047,19.226232528686523,5.614690780639648,9.71109390258789,12.820109367370604,10.565196990966797,13.282218933105469,13.0431489944458,16.439716339111328,19.035877227783203,29.09096908569336,25.12527656555176,13.848097801208496,23.29095268249512,19.93548393249512,25.2728271484375,31.01127052307129,44.55910110473633,29.24816131591797,26.71245002746582,26.91038703918457,31.643272399902344,44.722312927246094,25.551494598388672,28.872652053833008,54.170989990234375,35.0407600402832,38.26557159423828,57.70621109008789,63.34764862060547,33.53695297241211,48.8814811706543,40.470977783203125,50.17427062988281,25.04941177368164,47.32364273071289,38.005104064941406,29.77748107910156,30.70722961425781,42.225379943847656,67.06196594238281,52.44975662231445,58.55926132202149,39.52043533325195,37.62015151977539,54.31089401245117,30.09905815124512,28.87875366210937,59.27531433105469,44.60283660888672,80.92485046386719,40.98910140991211,43.38746643066406
station-assignment,0.5764706134796143,0.2008032202720642,0.8675799369812012,0.1666666716337204,0.0,0.4676806032657623,1.3623188734054563,9.10407257080078,6.5720930099487305,4.568527698516846,7.645429134368896,8.278745651245117,5.580052375793457,8.88759708404541,15.44031810760498,10.543725967407228,7.533088207244873,8.978723526000977,10.814988136291504,17.169422149658203,7.977528095245361,12.048148155212402,7.577539920806885,7.554621696472168,12.684210777282717,8.170833587646484,10.514705657958984,9.413203239440918,10.905349731445312,6.134020805358887,11.048327445983888,14.335848808288574,11.914633750915527,15.171052932739258,16.24127960205078,9.556737899780272,11.723356246948242,29.73426628112793,15.03311252593994,13.396588325500488,23.968660354614254,15.683871269226074,25.97674369812012,30.222591400146484,44.89908218383789,29.15104103088379,20.62062263488769,17.964454650878906,22.846590042114254,40.82007598876953,27.68374252319336,28.805225372314453,57.8125,39.04635620117188,37.4724235534668,53.34623336791992,59.142574310302734,35.91803359985352,47.82883071899414,44.029815673828125,51.5773811340332,22.62022399902344,46.19694137573242,43.94456100463867,33.00228500366211,34.60645294189453,47.50326919555664,42.40126037597656,52.09242248535156,58.601505279541016,43.66128921508789,42.80141830444336,52.7897834777832,33.8404655456543,31.4252872467041,60.48766708374024,51.58235168457031,68.38644409179688,39.68041229248047,44.789344787597656
