,normal_0011,normal_0012,normal_0015,normal_0017,normal_0019,normal_0014,normal_0002,normal_0007,normal_0006,normal_0008,normal_0001,normal_0004,normal_0003,normal_0000,normal_0013,normal_0009,normal_0018,normal_0010,normal_0016,normal_0005,bias_0040,bias_0020,bias_0049,bias_0014,bias_0004,bias_0013,bias_0005,bias_0030,bias_0027,bias_0009,bias_0011,bias_0008,bias_0039,bias_0044,bias_0032,bias_0019,bias_0045,bias_0022,bias_0021,bias_0007,bias_0038,bias_0033,bias_0028,bias_0001,bias_0000,bias_0002,bias_0029,bias_0026,bias_0018,bias_0023,extreme_0000,extreme_0001,extreme_0002,extreme_0003,extreme_0004,extreme_0005,extreme_0006,extreme_0007,extreme_0008,extreme_0009,extreme_0010,extreme_0011,extreme_0012,extreme_0013,extreme_0014,extreme_0015,extreme_0016,extreme_0017,extreme_0018,extreme_0019,extreme_0020,extreme_0021,extreme_0022,extreme_0023,extreme_0024,extreme_0025,extreme_0026,extreme_0027,extreme_0028,extreme_0029
o2o-iql,0.1848408194922471,0.1556337451980546,0.222602792082717,0.2176281060675166,0.3524161791070153,0.2052919982000707,0.2002383466955891,0.2029025392825728,0.2411063523100594,0.2866510424970646,0.2266897718309535,0.1903132048547377,0.2803619569500502,0.2707393296637799,0.1787041622935278,0.406318836698428,0.3033520126075493,0.4943240578712096,0.3095268738592639,0.2054837578138561,0.3277776515730905,0.4018065721866065,0.1999839401405146,0.1983532524415258,0.2811618665099818,0.5805200787653759,0.3296115691365409,0.2331459224311102,0.4086581747401015,0.3781534273229059,0.2995600643302411,0.2103854898279282,0.2532479201363466,0.2711782109109619,0.4027992175592039,0.3438171400577118,0.4631080713168982,0.2259064217419116,0.4384171027210464,0.2919505848672553,0.2981581619969633,0.4745525620995467,0.2501777128801,0.5204210062585858,0.2618039356429598,0.5206006744211524,0.4300277382793209,0.5706999816342797,0.684224370201665,0.5308066990080661,0.1558758559114297,0.1439657787112328,0.1730450807562066,0.1617520391971103,0.0793378571846913,0.1506950146762508,0.1502893961543255,0.1298412489057565,0.1661373047328786,0.1832960802364857,0.1649659707689973,0.1370194774440959,0.1566572612059199,0.1606087652717275,0.1839820088614275,0.1485023194571791,0.1182316916680686,0.1264975617566468,0.0921417273515371,0.1216364820536069,0.1798104513998047,0.1720854217147766,0.1812712017378102,0.058128500943327,0.129470552784166,0.1908367036977808,0.1895614556540523,0.1203310268555198,0.1877319747328139,0.1226506389910716
ppo,0.244568411882888,0.3214540774357394,0.2886330785916874,0.3685340150631556,0.3924620775711434,0.2814418523687983,0.3856798292882905,0.6612755120153847,0.3748079885767524,0.3690427889051694,0.3503908840384931,0.2866314352160705,0.3420107110816549,0.5290863179530153,0.2931952319336832,0.532182129604197,0.4396309040628013,0.5603035253687754,0.3424268399813846,0.2827100400741781,0.344014525648098,0.6102530766856742,0.2878783561094516,0.3160922076393394,0.3036894218354641,0.5755758365716402,0.5929416597413273,0.3460393913607956,0.6461780555190759,0.3802330081728127,0.3593478882778296,0.2346771306487437,0.2421604170557278,0.3074546273236681,0.3350286475939587,0.4378185552127117,0.4670968793482883,0.2740499651979795,0.4870602079585271,0.3271382056675198,0.3148083073124905,0.527180283544202,0.3328917707934588,0.5433432516234776,0.3293111523222674,0.5546510039489723,0.3754678248315508,0.5538488228683512,0.5635443008589588,0.4903042029310693,0.2946425065701146,0.3600940125517158,0.345691350545742,0.2871376465380132,0.3358688812788665,0.3341135589432089,0.309165063418024,0.2839745368681222,0.2796320900977099,0.2954794103846299,0.357745805425344,0.2564266867478624,0.3669415278626509,0.3560126042857657,0.2757394577218093,0.3115603660284235,0.3061860951402707,0.3273487962789311,0.3302497854748925,0.3510199458050174,0.3659614101867013,0.337793469115703,0.3118008821693573,0.3353796427441755,0.3276344910696005,0.3654293640109184,0.3234209510591955,0.3374007508612883,0.2920593246166349,0.3324470666800512
eoi,0.1903035245499435,0.2920595980210905,0.1970271484370487,0.357142958171168,0.3990624598669569,0.2302685435105432,0.3393791850942473,0.729815885939583,0.2074630314547794,0.4082783476901108,0.1556698264928324,0.1930145423967787,0.3061015578279101,0.504803992675703,0.2597423640890128,0.5198731606317627,0.6190033541743827,0.5315313402270342,0.3719581420043463,0.3406220506641966,0.4129426737756744,0.975288143581108,0.3230986542412605,0.437804444474671,0.3387377682948136,0.7232130300471507,0.9904307375823848,0.4069316501492003,1.0177174574808012,0.4573280832154687,0.4171333166260128,0.2597387031545723,0.3063080940697982,0.3323590737841618,0.3968980013340118,0.5905032640853669,0.7879294489871964,0.3792500695793044,0.8808050266947987,0.4068915384414115,0.3520174587619518,0.6231690813642932,0.4150021818401633,0.6672723796507004,0.4329404921597878,0.7564418528659845,0.5553307037350924,0.6900719990660584,0.7565856178968294,0.6866227661316849,0.4175156004611029,0.4633623887824687,0.3198908805425375,0.4169999504682686,0.4988317603388145,0.3384836794670063,0.2880671000697358,0.3432618058384103,0.352461442477282,0.3506991042117175,0.3050354222245562,0.4762196362875322,0.3760299505063907,0.361670551107544,0.5444894592335514,0.4230155487809747,0.3507219136333895,0.3690378829627412,0.2942866494004547,0.2974045472335103,0.4175684965158256,0.3603702453724416,0.3350431965228018,0.3830962514678517,0.4385486658162859,0.2983078064696894,0.351121800579987,0.3060800866558021,0.3280408763698847,0.41372698322957
all-no-split,0.2947100003389723,0.3352843252897808,0.3364001897449898,0.3690586664652259,0.3990624598669569,0.2864348163786421,0.481294750980438,0.9930226662318432,0.4044300498460637,0.5621130316427235,0.4187131191067175,0.3978128120258714,0.3603842424891799,0.8430701037116931,0.3827490047588079,0.6253575430743661,0.7699841680696129,0.7283744140723756,0.4134032627684275,0.4126368900857538,0.3978418222304162,1.0243006209495134,0.2972915145648613,0.4269088150309147,0.3162393045360258,0.7376465167030635,1.0677196938415785,0.4191066260789561,1.0867280867125602,0.4536692954367303,0.4046189516088462,0.2539529542490116,0.3697893820636406,0.3074546273236681,0.3854090242006914,0.6085373469962297,0.830921530183137,0.3903422317797602,0.9160382491662584,0.3611974238730283,0.3262388646398016,0.6473047004878743,0.4160655277815588,0.675542471288046,0.4292163727130897,0.7632552654323368,0.5572215635483188,0.6964112446737928,0.7636299374747413,0.6927688560281506,0.465026191225062,0.4387972813784229,0.4194465641644809,0.353023259331455,0.4023747842469644,0.4954729266970729,0.4517913256060443,0.3146816758682503,0.3145571349905899,0.3228128115162714,0.4210907162974235,0.3532529676073132,0.42835801144997,0.349511290530186,0.4070218905400938,0.4335697591024555,0.409003589303842,0.3607174067700952,0.3792180680539536,0.4308208339785281,0.4431082523063412,0.3925783947919561,0.4521692418545011,0.3258661700793514,0.4085585834578707,0.3796707804881233,0.3808742124371828,0.4339096799132639,0.3317836394979234,0.4572314343019812
greedy-split,0.2370222799336996,0.3219868211205252,0.2483254806431117,0.3654856869717393,0.3990624598669569,0.266355985501812,0.3553698562779728,0.560626453908813,0.2032475110791763,0.3702962852327108,0.2188213519391587,0.1966590790684485,0.282188085662985,0.4415415951966986,0.298555972623639,0.3999051170425928,0.3808685121812763,0.5074414344402745,0.284951748561006,0.1919790864203057,0.2656459561881006,0.6301344344833189,0.1264025594348659,0.2324976835252617,0.1939240971323405,0.51812299761689,0.6149154209496912,0.2026303305905939,0.6350398916634277,0.2459698724268272,0.2770147880477847,0.1828981966188797,0.15128098151542,0.193855553770915,0.276447785701172,0.3353783868485782,0.3628947823290235,0.2200559466537473,0.4222313707145093,0.1707557279153919,0.2149944552730561,0.4009600747359566,0.1907711755729997,0.4500868513234906,0.242194473971622,0.4697990658193746,0.296953808758674,0.4673561905288229,0.5362392766217869,0.3918719124900382,0.2339216800359388,0.2203961329205468,0.220126153255004,0.1766414492503479,0.2152969322182865,0.2940102917421447,0.2865863791807156,0.1585317012540838,0.2853038614070038,0.2332172774281163,0.2691934219756753,0.1968632651102861,0.2168443460661345,0.2129974090556076,0.1881728777614179,0.181878138394322,0.2289731459910728,0.4433862037798025,0.2276187124458938,0.2417872363517771,0.2070364466931298,0.22594838768679,0.2361767107748774,0.162907970245046,0.206155597458292,0.248277703939521,0.1441092537722756,0.3430424371009786,0.2448327189769036,0.2188517762651139
station-assignment,0.2947100003389723,0.3352843252897808,0.3364001897449898,0.3690586664652259,0.3990624598669569,0.2864348163786421,0.481294750980438,0.6784549848898365,0.3037103402740175,0.5096060778116287,0.3172815509259868,0.3162627216836441,0.3581920513475266,0.5076560627393196,0.3148762038026126,0.4888947351640552,0.4913108607972498,0.5701456137820279,0.3622050814292872,0.2869932240811986,0.3893414823951574,0.6985714718888667,0.2398185232739374,0.2436467649086769,0.3162393045360258,0.5977827954641061,0.6449575245834415,0.2655117526304111,0.6472224930831271,0.3147807533291388,0.369302726845427,0.2347298044979866,0.2516458688539031,0.288153065665002,0.3636301358130825,0.2942631385572916,0.3681770778584448,0.2301444639932484,0.4864056973650648,0.2241871122108217,0.289608873144304,0.4492395816352613,0.2306517928965939,0.539472565017922,0.3282809447215976,0.5752861851715436,0.2218167625456,0.4232397938733386,0.4696132474123486,0.4423617927516767,0.3251965064749452,0.2477268798377495,0.235771539895703,0.2411819591600979,0.2249029766690637,0.2154548935229476,0.2069302380088843,0.2275599830448965,0.2213632685747204,0.2088212867318868,0.2366312057375159,0.1649174547855754,0.2106128712992998,0.264714432256478,0.2394240316578424,0.2600598829685274,0.2764829198806336,0.204154646317079,0.1541998639265557,0.2416131350211637,0.2704918355180816,0.2928572432517606,0.2924126959736984,0.2276057393645768,0.2524872548526545,0.2411171350567684,0.2514467023851148,0.2632885019429718,0.2124204545699914,0.2731853292137397
