,normal_0011,normal_0012,normal_0015,normal_0017,normal_0019,normal_0014,normal_0002,normal_0007,normal_0006,normal_0008,normal_0001,normal_0004,normal_0003,normal_0000,normal_0013,normal_0009,normal_0018,normal_0010,normal_0016,normal_0005,bias_0040,bias_0020,bias_0049,bias_0014,bias_0004,bias_0013,bias_0005,bias_0030,bias_0027,bias_0009,bias_0011,bias_0008,bias_0039,bias_0044,bias_0032,bias_0019,bias_0045,bias_0022,bias_0021,bias_0007,bias_0038,bias_0033,bias_0028,bias_0001,bias_0000,bias_0002,bias_0029,bias_0026,bias_0018,bias_0023,extreme_0000,extreme_0001,extreme_0002,extreme_0003,extreme_0004,extreme_0005,extreme_0006,extreme_0007,extreme_0008,extreme_0009,extreme_0010,extreme_0011,extreme_0012,extreme_0013,extreme_0014,extreme_0015,extreme_0016,extreme_0017,extreme_0018,extreme_0019,extreme_0020,extreme_0021,extreme_0022,extreme_0023,extreme_0024,extreme_0025,extreme_0026,extreme_0027,extreme_0028,extreme_0029
o2o-iql,0.0,0.0,0.0,0.0,0.0,0.0,0.4500000178813934,4.650000095367432,6.795000076293945,15.119999885559082,15.0,20.96000099182129,16.0,31.497501373291016,25.40404891967773,34.849998474121094,39.0930290222168,41.31499862670898,37.97499847412109,37.13249969482422,14.0,14.04677677154541,14.5,17.56999969482422,19.84607696533203,22.177499771118164,22.362499237060547,22.92085075378418,26.475000381469727,38.56499862670898,38.71149063110352,39.84073638916016,40.23317337036133,43.65500259399414,45.339656829833984,50.87000274658203,61.27191162109375,63.9001350402832,64.56999969482422,74.11000061035156,74.88690185546875,85.41999816894531,86.55859375,92.3000030517578,95.95486450195312,105.52999877929688,131.6374969482422,132.5800018310547,175.30499267578125,219.82395935058597,50.482418060302734,54.23557662963867,89.72398376464844,56.009857177734375,51.19952392578125,92.86715698242188,84.5,42.572391510009766,64.58414459228516,64.55939483642578,81.13720703125,38.11723327636719,87.4961929321289,53.191802978515625,55.05388259887695,62.35759353637695,70.41218566894531,64.23750305175781,74.94999694824219,100.37096405029295,81.0309829711914,57.24149703979492,87.00387573242188,61.89556121826172,55.18349075317383,109.61388397216795,93.0874252319336,103.07413482666016,59.53349685668945,76.67970275878906
ppo,0.0,0.0,0.0,0.0,0.0,1.4895190000534058,0.6000000238418579,36.0,18.19499969482422,19.200000762939453,23.799999237060547,23.96999931335449,17.25,55.47500228881836,40.77999877929688,49.3650016784668,45.522499084472656,47.477500915527344,41.3126220703125,40.368953704833984,26.50431060791016,44.0,16.138465881347656,34.84000015258789,30.977706909179688,25.809999465942383,62.89500045776367,23.95569229125977,73.4800033569336,24.130001068115234,35.79999923706055,32.92074203491211,45.02999877929688,33.0,38.92841720581055,59.78499984741211,74.5999984741211,78.30000305175781,96.40999603271484,59.63999938964844,79.76803588867188,89.71800994873047,95.10269165039062,111.5,109.71200561523438,148.01341247558594,98.51718139648438,137.11424255371094,123.23500061035156,208.16749572753903,103.51246643066406,99.1999969482422,150.9976043701172,98.12191772460938,88.53923797607422,129.9250030517578,144.7888641357422,108.26873779296876,118.35688018798828,100.08538818359376,137.1421356201172,87.4000015258789,136.87640380859375,124.30062103271484,90.41718292236328,88.1316146850586,127.467041015625,103.43956756591795,141.10000610351562,173.16366577148438,116.62956237792967,94.8499984741211,109.58428192138672,110.06839752197266,84.08824920654297,168.2452392578125,153.39698791503906,186.55438232421875,110.77640533447266,111.74225616455078
eoi,4.0,0.0,5.0,0.0,0.0,2.899993896484375,12.29998779296875,75.75,31.51000213623047,29.839998245239254,21.5,27.73287773132324,20.0,44.639984130859375,50.7999267578125,80.55995178222656,77.53248596191406,48.96248626708984,61.90422058105469,63.74250030517578,45.04901123046875,153.5500030517578,42.0,74.15998840332031,52.90958404541016,87.05000305175781,161.0,75.00000762939453,189.1299591064453,63.54499053955078,57.0,50.0,63.40045928955078,56.850006103515625,63.70001220703125,116.84994506835938,200.8000030517578,129.60000610351562,241.0,111.16002655029295,94.5,158.39990234375,141.81649780273438,189.0,153.5,249.55001831054688,189.52500915527344,192.89996337890625,203.0,341.6499938964844,181.54080200195312,187.0,242.44998168945312,162.17005920410156,202.1705017089844,265.0,267.7999267578125,159.69998168945312,163.4000244140625,175.25,239.8500061035156,157.39407348632812,226.69998168945312,190.0,205.0,195.80303955078125,191.30001831054688,209.0010528564453,223.0,235.41429138183597,225.3117828369141,182.9326019287109,224.76719665527344,173.0,175.49993896484375,212.69998168945312,213.68006896972656,245.0,154.79998779296875,225.1599884033203
all-no-split,4.0,0.0,6.0999908447265625,0.0,0.0,4.0,14.149993896484377,141.0,61.80001831054688,55.0,69.0,57.699981689453125,31.0,159.29998779296875,87.19998168945312,114.0,117.0,123.74990844726562,67.19989013671875,86.85000610351562,34.0,158.0,43.0,81.59994506835938,50.850006103515625,92.0,169.0,85.0,200.69998168945312,65.64999389648438,56.59999084472656,50.0,73.54998779296875,58.850006103515625,58.0,123.7999267578125,208.0,135.60000610351562,251.0,115.20004272460938,90.5,163.84991455078125,145.5,195.0,153.25,252.8500061035156,195.0,194.84994506835935,207.0,341.6499938964844,173.80001831054688,185.0,260.89996337890625,139.39999389648438,181.1997985839844,298.0,298.39990234375,152.69979858398438,165.0,170.5,243.8500061035156,128.79998779296875,216.79998779296875,177.60003662109375,176.599853515625,181.5999755859375,195.0,196.5,244.0,251.0,221.0,173.49996948242188,258.0,146.35000610351562,154.29998779296875,227.19970703125,202.0999755859375,266.5,152.0,228.79998779296875
greedy-split,4.0,0.0,6.0,0.0,0.0,3.0,12.29998779296875,57.5,43.30000305175781,31.29999542236328,35.54001235961914,33.34999084472656,17.5,71.57499694824219,50.699981689453125,66.84999084472656,58.72499084472656,52.39996337890625,45.84999084472656,47.350006103515625,19.0,63.5,22.0,45.0,38.0,35.525001525878906,83.84999084472656,37.30000305175781,89.94999694824219,34.0,41.0,40.600006103515625,42.274993896484375,42.5,45.0,81.97499084472656,84.5,85.90000915527344,109.0,69.0,72.5,101.77499389648438,87.5,119.0,113.37721252441406,143.0,109.5,131.4249725341797,138.7999267578125,189.6499938964844,86.30884552001953,112.0,152.5,81.19999694824219,116.09999084472656,184.75,168.84396362304688,84.88990783691406,130.55638122558594,108.62409210205078,140.7529754638672,80.3094482421875,126.83184814453124,101.43079376220705,105.47496032714844,92.84120178222656,110.10672760009766,204.04147338867188,134.5,149.22119140625,131.875,108.39999389648438,149.44541931152344,84.60696411132812,84.31397247314453,148.4702911376953,118.5,224.732666015625,99.8680191040039,150.39999389648438
station-assignment,4.0,0.0,6.0999908447265625,0.0,0.0,4.0,14.149993896484377,66.0,44.0,40.0,52.0,48.499908447265625,30.0,53.5999755859375,66.599853515625,67.69998168945312,52.7999267578125,73.84994506835938,56.0,58.850006103515625,34.0,65.55000305175781,36.0,44.19989013671875,50.850006103515625,57.100006103515625,62.0,45.600006103515625,67.79998779296875,35.649993896484375,53.59999084472656,49.0,57.0,55.850006103515625,51.0,56.0,49.0,83.60000610351562,68.39999389648438,67.80001831054688,82.5,79.0,97.0,126.0,130.0,143.95004272460938,67.35000610351562,73.94998168945312,81.599853515625,179.54995727539062,108.0,95.0,156.44998168945312,114.0,121.59994506835938,137.0,143.0,111.0,151.0,116.0,150.70001220703125,83.79998779296875,126.0,131.80001831054688,106.29998779296876,118.79998779296876,148.4000244140625,112.25,136.0,162.0,129.0,136.0,172.4000244140625,116.0,114.0,160.0,149.54998779296875,189.0,112.79998779296876,129.19998168945312
